user_id,timestamp,lat,lng,rainfall_mm,aqi,temperature,speed_kmh,distance_moved_m,claim_amount,claim_time_gap_min,device_count,kyc_score,ip_distance_km,is_active,weekly_premium
1000,2026-01-12 05:15,27.67979,83.00588,0.0,102.76,31.67,28.08,918.32,350,508.51,2,54.7,202.91,1,121.38
1001,2026-01-19 01:38,16.27712,68.95665,1.57,98.88,25.39,19.8,1413.33,120,483.4,1,75.33,9.42,1,54.16
1002,2026-01-31 02:41,14.30551,70.00228,0.97,164.09,29.92,2.73,12.94,200,33.46,1,88.0,5.47,0,74.71
1003,2026-02-02 00:38,25.43529,77.21996,20.48,83.13,24.56,29.51,1538.68,120,405.1,1,93.68,5.4,1,70.48
1004,2026-01-27 16:04,24.60548,69.52829,16.29,113.28,35.33,13.29,1014.47,200,466.25,1,76.59,3.11,1,54.88
1005,2026-03-01 00:51,21.19744,86.18786,0.0,86.97,35.84,26.36,1178.5,200,712.93,1,85.69,0.25,1,50.75
1006,2026-02-07 22:28,18.52741,86.60511,8.3,68.62,21.03,13.53,898.95,150,583.08,1,79.66,8.93,1,51.64
1007,2026-01-13 18:47,24.71401,86.36987,0.0,76.89,27.65,8.29,0.0,370,469.1,4,40.78,111.03,1,131.07
1008,2026-02-18 01:20,16.35941,69.33029,0.0,56.16,25.07,13.93,1474.45,360,387.12,5,66.33,109.89,1,101.72
1009,2026-02-05 13:39,17.26911,79.33431,0.0,96.75,22.07,14.65,1413.7,100,395.62,1,95.41,7.98,1,45.05
1010,2026-01-12 03:48,25.76803,74.68216,1.51,118.73,24.29,14.24,1038.04,100,371.31,1,95.94,6.76,1,53.09
1011,2026-01-28 14:24,12.32778,79.09968,0.0,119.65,19.74,20.95,1237.69,150,500.32,1,79.72,2.79,1,52.61
1012,2026-01-05 14:55,16.37332,86.19929,14.45,116.12,36.62,24.54,1101.3,180,371.4,1,99.86,1.76,1,40.33
1013,2026-01-17 10:48,18.2236,71.66587,30.15,60.62,24.24,28.84,2564.01,150,429.39,1,89.75,9.79,1,71.38
1014,2026-02-04 12:57,15.24662,81.22462,22.41,124.0,32.37,42.27,1181.29,200,397.68,1,97.09,7.48,1,90.95
1015,2026-01-14 05:51,14.84653,79.33168,15.05,92.03,28.7,0.81,24.26,120,19.26,1,96.11,9.3,0,57.62
1016,2026-02-20 22:31,21.89267,75.35226,0.0,48.92,35.3,2.13,27.64,180,15.53,1,81.41,6.12,0,57.75
1017,2026-02-19 01:56,12.02147,69.45429,1.66,84.89,20.64,36.0,651.95,100,308.99,1,95.97,8.6,1,45.53
1018,2026-02-25 21:35,23.93887,72.42433,4.98,60.79,31.3,1.59,27.03,150,32.23,1,99.4,5.16,0,56.69
1019,2026-01-20 20:51,23.40168,73.14264,22.79,161.25,25.94,2.75,22.12,380,12.75,2,56.41,119.98,0,190.67
1020,2026-01-13 00:44,20.66262,76.6018,13.4,60.77,22.32,23.55,1664.78,200,214.61,1,86.84,1.73,1,49.7
1021,2026-01-19 18:06,8.99482,87.45749,5.13,110.98,49.12,20.67,1540.66,180,429.64,1,96.68,6.36,1,40.51
1022,2026-01-25 16:35,10.65996,84.62969,29.21,107.85,36.82,10.84,1554.79,100,223.38,1,75.97,6.18,1,66.5
1023,2026-01-18 20:31,15.97771,81.97308,0.0,57.01,41.71,19.68,1469.19,150,384.25,1,85.59,5.69,1,49.9
1024,2026-01-27 12:41,13.17534,79.90115,11.76,97.22,36.43,29.15,1714.72,200,274.63,1,87.41,3.9,1,43.29
1025,2026-02-16 05:54,10.06969,69.09645,15.88,85.02,28.8,36.2,1874.13,350,828.64,2,61.66,247.4,1,101.62
1026,2026-01-05 23:21,28.0511,82.10462,35.13,93.6,30.5,8.48,969.91,380,577.24,2,33.39,296.66,1,148.83
1027,2026-01-30 15:48,15.67229,84.66239,0.04,144.4,17.78,32.56,1188.59,380,199.49,5,52.86,235.24,1,151.61
1028,2026-02-06 12:24,22.09752,72.86888,0.0,68.03,15.24,1.59,21.82,200,40.3,1,88.9,3.23,0,62.37
1029,2026-02-20 01:26,21.02855,82.26285,10.82,176.13,25.4,19.11,1785.79,380,109.43,3,45.53,107.35,1,153.92
1030,2026-01-20 05:55,15.45914,73.32897,2.58,88.02,26.13,7.2,812.22,370,319.29,3,67.99,231.43,1,100.71
1031,2026-01-27 13:32,8.5458,75.7175,25.56,101.82,23.42,19.08,1942.69,350,81.11,3,57.67,183.59,1,147.0
1032,2026-02-26 06:02,19.49744,83.76424,5.3,30.0,21.79,24.28,279.53,370,655.54,3,49.93,169.05,1,135.9
1033,2026-02-21 14:43,19.61142,85.9714,11.01,49.18,28.39,2.27,31.02,360,35.5,3,54.69,295.12,0,131.35
1034,2026-01-17 11:46,9.88374,82.89114,31.67,30.0,41.77,21.76,69.67,180,593.73,1,96.05,7.69,1,73.23
1035,2026-02-21 06:37,18.19719,74.73941,0.0,116.79,32.2,1.04,44.84,150,24.22,1,79.31,1.92,0,55.3
1036,2026-02-09 21:48,11.49696,73.7111,8.39,48.59,26.68,10.42,1138.83,150,408.43,1,90.7,0.82,1,54.26
1037,2026-02-25 14:34,11.81959,72.29166,0.69,79.0,16.19,14.99,0.0,200,570.28,1,87.79,5.32,1,45.06
1038,2026-01-25 07:54,13.01914,73.51949,7.2,88.09,23.63,14.77,2212.28,120,576.33,1,87.46,0.87,1,60.42
1039,2026-01-17 09:55,10.64091,73.81741,30.86,145.83,22.14,8.81,1537.78,350,269.87,3,62.23,63.91,1,137.56
1040,2026-01-10 07:26,9.06885,68.37397,12.61,126.31,29.95,23.61,1539.8,200,566.36,1,86.92,8.39,1,67.18
1041,2026-02-10 13:47,18.50753,72.9694,0.0,100.39,24.57,10.89,1360.65,360,956.76,3,48.17,187.15,1,121.94
1042,2026-01-02 18:59,12.17582,82.03372,45.85,65.82,28.72,21.28,864.15,150,701.01,1,99.77,2.05,1,70.43
1043,2026-01-31 18:05,8.99556,84.02105,7.66,111.28,34.18,16.46,1475.23,120,530.68,1,82.9,5.88,1,43.54
1044,2026-01-31 07:43,17.35534,82.63254,13.75,122.23,16.04,32.09,473.7,150,77.32,1,76.67,2.29,1,60.66
1045,2026-02-27 23:22,14.93255,70.85508,0.0,110.38,37.48,21.45,1348.93,360,308.13,4,35.73,101.14,1,125.75
1046,2026-01-23 15:45,18.22542,83.47002,11.31,52.11,25.32,2.43,3104.67,150,436.45,1,85.22,7.72,1,66.93
1047,2026-02-19 18:35,11.75907,86.62324,25.13,30.0,38.98,21.44,2786.14,180,359.43,1,98.3,5.65,1,70.23
1048,2026-02-15 03:24,27.09574,82.49839,13.75,44.41,21.95,35.09,606.24,100,374.84,1,95.97,1.25,1,43.83
1049,2026-01-28 12:42,20.2394,76.17956,0.0,83.68,27.44,26.82,0.0,150,354.02,1,93.44,4.52,1,53.14
1050,2026-01-30 08:34,17.3655,70.88757,9.9,37.23,34.83,18.74,2309.37,350,625.31,2,50.61,293.89,1,128.66
1051,2026-01-16 05:26,28.6353,78.295,0.0,62.9,30.9,21.58,1113.38,350,285.27,3,63.46,196.86,1,97.27
1052,2026-02-14 17:57,22.78103,78.81678,0.0,201.84,39.55,1.0,3.78,100,37.91,1,97.44,5.27,0,79.91
1053,2026-02-27 04:14,11.23236,82.67743,8.66,91.2,25.77,14.17,885.29,150,497.87,1,80.95,0.99,1,48.62
1054,2026-02-16 07:58,26.55415,68.26654,0.0,30.0,40.59,15.82,1829.41,100,259.13,1,81.7,6.24,1,42.96
1055,2026-02-13 15:56,14.09544,87.44329,1.83,105.97,29.77,28.83,998.57,350,669.21,3,59.67,224.71,1,126.89
1056,2026-02-06 03:33,28.37713,78.77665,3.73,68.41,25.33,2.74,5.89,120,29.25,1,88.85,6.51,0,57.19
1057,2026-01-12 20:45,10.83353,86.45038,14.71,100.24,35.9,11.97,1506.18,180,368.38,1,87.97,0.47,1,54.03
1058,2026-01-28 03:09,23.2773,69.69737,0.0,113.24,20.86,13.61,614.48,200,610.73,1,86.9,6.64,1,41.23
1059,2026-02-21 23:18,13.42887,80.1991,8.14,89.79,26.05,29.19,778.09,150,393.0,1,85.87,2.46,1,58.85
1060,2026-01-20 19:05,24.54791,82.24128,19.33,30.0,25.64,18.02,408.39,200,354.75,1,96.82,7.32,1,54.02
1061,2026-02-10 13:33,28.29794,86.51896,23.95,144.19,36.17,2.01,2.21,200,29.82,1,88.9,4.73,0,95.9
1062,2026-02-21 07:43,28.10091,87.35746,19.24,135.16,29.52,27.51,890.37,370,419.22,5,49.24,271.25,1,147.69
1063,2026-01-03 07:43,17.12937,76.29195,30.01,102.71,42.25,23.88,0.0,120,545.91,1,85.44,4.62,1,73.57
1064,2026-02-18 09:46,9.44961,68.19445,10.71,89.03,26.67,14.58,287.25,200,346.74,1,93.31,0.03,1,46.68
1065,2026-01-24 19:33,14.14796,85.48285,20.01,154.56,32.76,0.33,19.58,180,7.1,1,94.95,2.59,0,98.75
1066,2026-01-27 08:13,28.33424,86.12608,22.47,98.3,29.1,14.72,1570.88,350,299.26,4,37.06,105.12,1,152.58
1067,2026-02-16 06:22,26.29437,87.01892,27.91,146.82,26.58,22.75,974.07,120,258.96,1,89.82,5.8,1,86.48
1068,2026-01-13 12:34,26.16344,73.4448,18.15,133.34,24.9,20.84,372.41,180,253.81,1,87.4,0.81,1,70.22
1069,2026-02-28 15:22,25.0709,75.13009,25.46,117.28,41.08,21.92,1383.33,100,586.6,1,92.71,8.37,1,72.11
1070,2026-01-19 12:12,22.07891,80.68153,0.26,109.22,27.78,13.33,1421.2,200,321.33,1,87.69,0.06,1,50.96
1071,2026-01-25 10:32,10.39797,75.72225,10.7,74.36,25.98,1.3,42.01,380,20.22,2,34.1,284.31,0,142.45
1072,2026-02-14 14:48,20.05093,75.0906,0.94,70.79,30.77,15.53,1426.33,200,713.1,1,86.15,2.74,1,49.67
1073,2026-01-11 04:08,10.11541,85.5113,29.48,94.31,35.0,16.04,909.41,200,329.08,1,99.08,0.31,1,69.43
1074,2026-01-21 02:42,27.96557,83.58193,19.5,30.0,26.6,27.54,1716.06,150,470.75,1,89.07,4.72,1,48.56
